time, step, color, speed, distance, stop, deviation, integral, derivative
100,0,42,90.5,1980, False,4.5,0,4.5
256,0,41,91,2336, False,3.5,0,-1
418,0,17,91.5,2049, False,-20.5,0,-24
558,0,33,92,2019, False,-4.5,0,16
693,0,67,92.5,2282, False,29.5,0,34
837,0,37,93,1936, False,-0.5,0,-30
981,0,6,93.5,1946, False,-31.5,-31.5,-31
1127,0,43,94,1919, False,5.5,0,37
1268,0,77,94.5,1927, False,39.5,39.5,34
1417,0,46,95,1885, False,8.5,0,-31
1557,0,5,95.5,1862, False,-32.5,0,-41
1726,0,36,96,1831, False,-1.5,0,31
1877,0,72,96.5,1843, False,34.5,0,36
2040,0,41,97,1807, False,3.5,0,-31
2199,0,6,97.5,1795, False,-31.5,0,-35
2336,0,22,98,1762, False,-15.5,-15.5,16
2481,0,75,98.5,1748, False,37.5,0,53
2628,0,69,99,1740, False,31.5,31.5,-6
2778,0,10,99.5,1722, False,-27.5,0,-59
2930,0,12,100,1708, False,-25.5,-25.5,2
3077,0,63,100.5,1692, False,25.5,0,51
3247,0,64,101,1676, False,26.5,26.5,1
3391,0,12,101.5,1662, False,-25.5,0,-52
3537,0,6,102,1640, False,-31.5,-31.5,-6
3677,0,55,102.5,1628, False,17.5,0,49
3817,0,69,103,1607, False,31.5,31.5,14
3967,0,13,103.5,1588, False,-24.5,0,-56
4116,0,4,104,1573, False,-33.5,-33.5,-9
4270,0,56,104.5,1558, False,18.5,0,52
4418,0,73,105,1547, False,35.5,35.5,17
4570,0,12,105.5,1528, False,-25.5,0,-61
4720,0,5,106,1511, False,-32.5,-32.5,-7
4864,0,58,106.5,1499, False,20.5,0,53
5001,0,74,107,1482, False,36.5,36.5,16
5159,0,16,107.5,1464, False,-21.5,0,-58
5307,0,5,108,1452, False,-32.5,-32.5,-11
5458,0,46,108.5,1430, False,8.5,0,41
5617,0,68,109,1413, False,30.5,30.5,22
5758,0,21,109.5,1397, False,-16.5,0,-47
5912,0,5,110,1385, False,-32.5,-32.5,-16
6051,0,43,110.5,1381, False,5.5,0,38
6197,0,71,111,1352, False,33.5,33.5,28
6337,0,41,111.5,1352, False,3.5,0,-30
6469,0,8,112,1352, False,-29.5,0,-33
6611,0,53,112.5,1352, False,15.5,0,45
6749,0,78,113,1352, False,40.5,40.5,25
6887,0,78,113.5,1352, False,40.5,81,0
7027,0,78,114,1352, False,40.5,121.5,0
7162,0,79,114.5,1352, False,41.5,163,1
7311,0,78,115,1227, False,40.5,203.5,-1
7448,0,61,115.5,1219, False,23.5,227,-17
7598,0,15,116,1219, False,-22.5,0,-46
7739,0,12,116.5,1210, False,-25.5,-25.5,-3
7877,0,78,117,1183, False,40.5,0,66
8028,0,75,117.5,1164, False,37.5,37.5,-3
8178,0,52,118,1162, False,14.5,52,-23
8317,0,82,118.5,1148, False,44.5,96.5,30
8459,0,83,119,1138, False,45.5,142,1
8600,0,78,119.5,1817, False,40.5,182.5,-5
8732,0,79,120,1799, False,41.5,224,1
8871,0,68,120.5,1779, False,30.5,254.5,-11
9012,0,6,121,1756, False,-31.5,0,-62
9159,0,5,121.5,1741, False,-32.5,-32.5,-1
9297,0,49,122,1726, False,11.5,0,44
9463,0,66,122.5,1714, False,28.5,28.5,17
9618,0,53,123,1687, False,15.5,44,-13
9771,0,62,123.5,1666, False,24.5,68.5,9
9921,0,78,124,1649, False,40.5,109,16
10060,0,78,124.5,1633, False,40.5,149.5,0
10208,0,67,125,1619, False,29.5,179,-11
10352,0,52,125.5,1611, False,14.5,193.5,-15
10492,0,47,126,1607, False,9.5,0,-5
10637,0,77,126.5,1607, False,39.5,39.5,30
10778,0,78,127,2550, False,40.5,80,1
10937,0,70,127.5,2550, False,32.5,112.5,-8
11078,0,43,128,2550, False,5.5,0,-27
11229,0,27,128.5,2550, False,-10.5,0,-16
11362,0,61,129,2550, False,23.5,0,34
11509,0,72,129.5,2550, False,34.5,34.5,11
11644,0,53,130,2550, False,15.5,50,-19
11791,0,15,130,2550, False,-22.5,0,-38
11937,0,16,130,2550, False,-21.5,-21.5,1
12068,0,73,130,2550, False,35.5,0,57
12228,0,70,130,2550, False,32.5,32.5,-3
12380,0,6,130,2550, False,-31.5,0,-64
12528,0,5,130,2550, False,-32.5,-32.5,-1
12678,0,64,130,2550, False,26.5,0,59
12818,0,73,130,2550, False,35.5,35.5,9
12967,0,26,130,2550, False,-11.5,0,-47
13102,0,6,130,2550, False,-31.5,-31.5,-20
13249,0,16,130,2550, False,-21.5,-53,10
13391,0,60,130,2550, False,22.5,0,44
13538,0,71,130,2550, False,33.5,33.5,11
13678,0,13,130,2550, False,-24.5,0,-58
13829,0,7,130,2550, False,-30.5,-30.5,-6
13981,0,71,130,2550, False,33.5,0,64
14121,0,77,130,2550, False,39.5,39.5,6
