time, color, distance, speed, stop, step, deviation, integral, derivative
100, 42, 1980, 90.50000000000001, False, 0, 4.5, 0, 4.5
256, 41, 2336, 91.0, False, 0, 3.5, 0, -1.0
418, 17, 2049, 91.5, False, 0, -20.5, 0, -24.0
558, 33, 2019, 92.00000000000001, False, 0, -4.5, 0, 16.0
693, 67, 2282, 92.5, False, 0, 29.5, 0, 34.0
837, 37, 1936, 93.00000000000001, False, 0, -0.5, 0, -30.0
981, 6, 1946, 93.5, False, 0, -31.5, -31.5, -31.0
1127, 43, 1919, 94.0, False, 0, 5.5, 0, 37.0
1268, 77, 1927, 94.50000000000001, False, 0, 39.5, 39.5, 34.0
1417, 46, 1885, 95.0, False, 0, 8.5, 0, -31.0
1557, 5, 1862, 95.50000000000001, False, 0, -32.5, 0, -41.00000000000001
1726, 36, 1831, 96.00000000000001, False, 0, -1.5, 0, 31.0
1877, 72, 1843, 96.5, False, 0, 34.5, 0, 36.0
2040, 41, 1807, 97.00000000000001, False, 0, 3.5, 0, -31.0
2199, 6, 1795, 97.5, False, 0, -31.5, 0, -35.0
2336, 22, 1762, 98.00000000000001, False, 0, -15.5, -15.5, 16.0
2481, 75, 1748, 98.50000000000001, False, 0, 37.5, 0, 53.00000000000001
2628, 69, 1740, 99.0, False, 0, 31.5, 31.5, -6.0
2778, 10, 1722, 99.50000000000001, False, 0, -27.5, 0, -59.0
2930, 12, 1708, 100.0, False, 0, -25.5, -25.5, 2.0
3077, 63, 1692, 100.5, False, 0, 25.5, 0, 51.00000000000001
3247, 64, 1676, 101.0, False, 0, 26.5, 26.5, 1.0
3391, 12, 1662, 101.5, False, 0, -25.5, 0, -52.0
3537, 6, 1640, 102.0, False, 0, -31.5, -31.5, -6.0
3677, 55, 1628, 102.5, False, 0, 17.5, 0, 49.0
3817, 69, 1607, 103.0, False, 0, 31.5, 31.5, 14.0
3967, 13, 1588, 103.5, False, 0, -24.5, 0, -56.00000000000001
4116, 4, 1573, 104.0, False, 0, -33.5, -33.5, -9.0
4270, 56, 1558, 104.5, False, 0, 18.5, 0, 52.0
4418, 73, 1547, 105.0, False, 0, 35.5, 35.5, 17.0
4570, 12, 1528, 105.5, False, 0, -25.5, 0, -61.00000000000001
4720, 5, 1511, 106.0, False, 0, -32.5, -32.5, -7.0
4864, 58, 1499, 106.5, False, 0, 20.5, 0, 53.00000000000001
5001, 74, 1482, 107.0, False, 0, 36.5, 36.5, 16.0
5159, 16, 1464, 107.5, False, 0, -21.5, 0, -58.00000000000001
5307, 5, 1452, 108.0, False, 0, -32.5, -32.5, -11.0
5458, 46, 1430, 108.5, False, 0, 8.5, 0, 41.00000000000001
5617, 68, 1413, 109.0, False, 0, 30.5, 30.5, 22.0
5758, 21, 1397, 109.5, False, 0, -16.5, 0, -47.0
5912, 5, 1385, 110.0, False, 0, -32.5, -32.5, -16.0
6051, 43, 1381, 110.5, False, 0, 5.5, 0, 38.0
6197, 71, 1352, 111.0, False, 0, 33.5, 33.5, 28.0
6337, 41, 1352, 111.5, False, 0, 3.5, 0, -30.0
6469, 8, 1352, 112.0, False, 0, -29.5, 0, -33.0
6611, 53, 1352, 112.5, False, 0, 15.5, 0, 45.0
6749, 78, 1352, 113.0, False, 0, 40.5, 40.5, 25.0
6887, 78, 1352, 113.5, False, 0, 40.5, 81.0, 0.0
7027, 78, 1352, 114.0, False, 0, 40.5, 121.5, 0.0
7162, 79, 1352, 114.5, False, 0, 41.5, 163.0, 1.0
7311, 78, 1227, 115.0, False, 0, 40.5, 203.5, -1.0
7448, 61, 1219, 115.5, False, 0, 23.5, 227.0, -17.0
7598, 15, 1219, 116.0, False, 0, -22.5, 0, -46.00000000000001
7739, 12, 1210, 116.5, False, 0, -25.5, -25.5, -3.0
7877, 78, 1183, 117.0, False, 0, 40.5, 0, 66.00000000000001
8028, 75, 1164, 117.5, False, 0, 37.5, 37.5, -3.0
8178, 52, 1162, 118.0, False, 0, 14.5, 52.0, -23.0
8317, 82, 1148, 118.5, False, 0, 44.5, 96.5, 30.0
8459, 83, 1138, 119.0, False, 0, 45.5, 142.0, 1.0
8600, 78, 1817, 119.5, False, 0, 40.5, 182.5, -5.0
8732, 79, 1799, 120.0, False, 0, 41.5, 224.0, 1.0
8871, 68, 1779, 120.5, False, 0, 30.5, 254.5, -11.0
9012, 6, 1756, 121.0, False, 0, -31.5, 0, -62.0
9159, 5, 1741, 121.5, False, 0, -32.5, -32.5, -1.0
9297, 49, 1726, 122.0, False, 0, 11.5, 0, 44.0
9463, 66, 1714, 122.5, False, 0, 28.5, 28.5, 17.0
9618, 53, 1687, 123.0, False, 0, 15.5, 44.0, -13.0
