time, color, distance, speed, stop, step, deviation, integral, derivative, frontID, frontTime, frontStep, frontSpeed, frontDistance
1,53,687,94.5, False,0,13,13,13,1, None,0, None, None
141,52,687,99.225, False,0,12,25,-1,1,256,0,90,1980
283,54,687,104.18625, False,0,14,39,2,1,256,0,90.5,2336
413,49,687,109.3955625, False,0,9,0,-5,1,418,0,91,2049
555,22,687,114.8653406, False,0,-18,0,-27,1,558,0,91.5,2019
706,19,687,120.6086077, False,0,-21,-21,-3,1,693,0,92,2282
836,48,687,126.639038, False,0,8,0,29,1,837,0,92.5,1936
974,62,687,132.9709899, False,0,22,22,14,1,981,0,93,1946
1123,67,687,139.6195394, False,0,27,49,5,1,1127,0,93.5,1919
1271,17,365,146.6005164, False,0,-23,0,-50,1,1268,0,94,1927
1421,5,2550,153.9305422, False,0,-35,-35,-12,1,1417,0,94.5,1885
1562,27,2550,161.6270693, False,0,-13,-48,22,1,1557,0,95,1862
1691,71,2550,165, False,0,31,0,44,1,1726,0,95.5,1831
1827,62,2550,165, False,0,22,22,-9,1,1877,0,96,1843
1961,36,1122,165, False,0,-4,0,-26,1,2040,0,96.5,1807
2091,10,1920,165, False,0,-30,-30,-26,1,2199,0,96.5,1807
2221,20,1791,165, False,0,-20,-50,10,1,2336,0,97,1795
2361,69,1007,165, False,0,29,0,49,1,2336,0,97.5,1762
2493,74,899,165, False,0,34,34,5,1,2481,0,98,1748
2634,69,2550,165, False,0,29,63,-5,1,2628,0,98.5,1740
2791,27,1290,165, False,0,-13,0,-42,1,2778,0,99,1722
2942,19,1965,165, False,0,-21,-21,-8,1,2930,0,99.5,1708
3082,36,1210,165, False,0,-4,0,17,1,3077,0,100,1692
3231,74,1183,165, False,0,34,0,38,1,3247,0,100.5,1676
3383,76,1155,165, False,0,36,36,2,1,3391,0,101,1662
3531,80,2550,165, False,0,40,76,4,1,3537,0,101.5,1640
3684,79,1534,165, False,0,39,115,-1,1,3677,0,102,1628
3823,78,1466,90, False,0,38,153,-1,1,3817,0,102.5,1607
3955,73,1452,90, False,0,33,186,-5,1,3967,0,103,1588
4104,70,1426,90, False,0,30,216,-3,1,4116,0,103.5,1573
4268,18,2550,90, False,0,-22,0,-52,1,4270,0,104,1558
4426,5,1397,94.5, False,0,-35,-35,-13,1,4418,0,104.5,1547
4586,66,1351,99.225, False,0,26,0,61,1,4570,0,105,1528
4722,82,1376,104.18625, False,0,42,42,16,1,4720,0,105.5,1511
4882,87,2550,109.3955625, False,0,47,89,5,1,4864,0,106,1499
5031,77,2550,114.8653406, False,0,37,126,-10,1,5159,0,107,1464
5205,9,1397,90, False,0,-31,0,-68,1,5307,0,107.5,1452
5371,5,1389,94.5, False,0,-35,-35,-4,1,5458,0,108,1430
5505,9,2550,99.225, False,0,-31,-66,4,1,5617,0,108.5,1413
5672,67,2550,104.18625, False,0,27,0,58,1,5758,0,109,1397
5813,70,2550,109.3955625, False,0,30,30,3,1,5912,0,109.5,1385
5944,75,2550,114.8653406, False,0,35,65,5,1,6051,0,109.5,1385
6073,74,2550,120.6086077, False,0,34,99,-1,1,6051,0,110,1381
6214,73,1337,126.639038, False,0,33,132,-1,1,6197,0,110.5,1352
6360,71,2550,90, False,0,31,163,-2,1,6469,0,111,1352
6492,70,2550,90, False,0,30,193,-1,1,6469,0,111.5,1352
6624,70,2550,90, False,0,30,223,0,1,6611,0,112,1352
6755,66,1210,90, False,0,26,249,-4,1,6749,0,112.5,1352
6893,31,2550,90, False,0,-9,0,-35,1,6887,0,113,1352
7034,5,893,94.5, False,0,-35,-35,-26,1,7027,0,113.5,1352
7201,27,2420,99.225, False,0,-13,-48,22,1,7311,0,114.5,1227
7341,77,2550,104.18625, False,0,37,0,50,1,7448,0,114.5,1227
7471,71,2550,109.3955625, False,0,31,31,-6,1,7448,0,115,1219
7633,66,1271,114.8653406, False,0,26,57,-5,1,7598,0,115.5,1219
7773,66,1702,120.6086077, False,0,26,83,0,1,7877,0,116.5,1210
7910,65,1162,126.639038, False,0,25,108,-1,1,7877,0,116.5,1183
8047,66,1201,90, False,0,26,134,1,1,8028,0,117,1164
8183,66,1196,90, False,0,26,160,0,1,8178,0,117.5,1162
8338,69,1202,90, False,0,29,189,3,1,8317,0,118,1148
8486,40,1254,90, False,0,0,0,-29,1,8600,0,119,1138
8612,5,2550,94.5, False,0,-35,-35,-35,1,8600,0,119,1817
8762,4,2550,99.225, False,0,-36,-71,-1,1,8871,0,120,1779
8901,27,1237,104.18625, False,0,-13,-84,23,1,9012,0,120,1779
9044,71,2550,109.3955625, False,0,31,0,44,1,9012,0,120.5,1756
9193,77,1227,114.8653406, False,0,37,37,6,1,9159,0,121,1741
9341,17,1271,120.6086077, False,0,-23,0,-60,1,9297,0,121.5,1726
9514,13,2354,126.639038, False,0,-27,-27,-4,1,9618,0,122,1714
9655,32,2550,132.9709899, False,0,-8,0,19,1,9618,0,122.5,1687
9791,59,2550,139.6195394, False,0,19,0,27,1,9771,0,123,1666
