time, step, color, speed, distance, stop, deviation, integral, derivative, front_id, front_time, front_step, front_speed, front_distance
0,0,46,94.5,2550, False,8.5,0,8.5,2, None, None, None, None
204,0,48,99.225,2550, False,10.5,10.5,2,2,141,0,94.5,687
409,0,40,104.18625,1549, False,2.5,0,-8,2,413,0,104.1862488,687
610,0,53,109.3955625,2550, False,15.5,15.5,13,2,555,0,109.3955612,687
815,0,59,114.8653406,1529, False,21.5,37,6,2,706,0,114.8653412,687
1015,0,55,120.6086077,1467, False,17.5,54.5,-4,2,974,0,126.6390381,687
1216,0,61,126.639038,2550, False,23.5,78,6,2,1271,0,139.6195374,365
1424,0,60,132.9709899,2550, False,22.5,100.5,-1,2,1421,0,146.6005096,2550
1627,0,61,90,2550, False,23.5,124,1,2,1691,0,153.930542,2550
1834,0,60,90,2550, False,22.5,146.5,-1,2,1827,0,165,2550
2034,0,30,90,2550, False,-7.5,0,-30,2,2091,0,165,1122
2237,0,61,94.5,2550, False,23.5,0,31,2,2221,0,165,1791
2438,0,69,99.225,2550, False,31.5,31.5,8,2,2493,0,165,899
2643,0,69,104.18625,2550, False,31.5,63,0,2,2634,0,165,2550
2844,0,54,109.3955625,2550, False,16.5,79.5,-15,2,2791,0,165,1290
3054,0,35,114.8653406,2550, False,-2.5,0,-19,2,3082,0,165,1210
3254,0,64,120.6086077,2550, False,26.5,0,29,2,3231,0,165,1183
3464,0,64,126.639038,2550, False,26.5,26.5,0,2,3531,0,165,1155
3683,0,64,132.9709899,2550, False,26.5,53,0,2,3684,0,165,1534
3884,0,67,139.6195394,2550, False,29.5,82.5,3,2,3823,0,165,1466
4096,0,69,146.6005164,2550, False,31.5,114,2,2,4104,0,90,1426
4304,0,61,90,2550, False,23.5,137.5,-8,2,4268,0,90,2550
4506,0,50,90,2550, False,12.5,150,-11,2,4426,0,90,1397
4707,0,17,90,2550, False,-20.5,0,-33,2,4722,0,94.5,1351
4907,0,54,94.5,2550, False,16.5,0,37,2,4882,0,104.1862488,2550
5114,0,70,99.225,2550, False,32.5,32.5,16,2,5031,0,109.3955612,2550
5317,0,70,104.18625,1908, False,32.5,65,0,2,5371,0,114.8653412,1397
5518,0,57,109.3955625,2550, False,19.5,84.5,-13,2,5505,0,94.5,2550
5718,0,40,114.8653406,2550, False,2.5,0,-17,2,5672,0,99.22499847,2550
5918,0,55,120.6086077,2550, False,17.5,17.5,15,2,5944,0,109.3955612,2550
6127,0,54,126.639038,2550, False,16.5,34,-1,2,6073,0,114.8653412,2550
6334,0,27,132.9709899,2550, False,-10.5,0,-27,2,6360,0,126.6390381,2550
6544,0,64,139.6195394,2550, False,26.5,0,37,2,6492,0,90,2550
6767,0,26,146.6005164,2550, False,-11.5,0,-38,2,6755,0,90,1210
6967,0,40,153.9305422,1295, False,2.5,0,14,2,7034,0,90,2550
7167,0,52,161.6270693,1271, False,14.5,14.5,12,2,7201,0,94.5,893
7368,0,25,165,2550, False,-12.5,0,-27,2,7341,0,99.22499847,2550
7568,0,47,165,1215, False,9.5,0,22,2,7633,0,109.3955612,2550
7773,0,41,165,2550, False,3.5,0,-6,2,7773,0,114.8653412,1702
7993,0,38,165,2550, False,0.5,0,-3,2,8047,0,120.6086044,1162
8198,0,36,165,2550, False,-1.5,0,-2,2,8183,0,90,1196
8398,0,35,165,1152, False,-2.5,0,-1,2,8338,0,90,1202
8613,0,40,165,1100, False,2.5,0,5,2,8612,0,90,2550
8814,0,39,165,2550, False,1.5,0,-1,2,8762,0,94.5,2550
9023,0,39,165,1623, False,1.5,0,0,2,9044,0,104.1862488,2550
9224,0,49,165,2550, False,11.5,11.5,10,2,9193,0,109.3955612,1227
9436,0,18,165,1460, False,-19.5,0,-31,2,9514,0,114.8653412,1271
9636,0,49,165,1406, False,11.5,0,31,2,9655,0,126.6390381,2550
9838,0,53,165,2550, False,15.5,15.5,4,2,9791,0,132.970993,2550
10038,0,18,165,1740, False,-19.5,0,-35,2,10083,0,146.6005096,2271
10238,0,46,165,2550, False,8.5,0,28,2,10221,0,153.930542,2238
10439,0,54,165,1539, False,16.5,16.5,8,2,10391,0,161.6270752,1227
10644,0,11,165,1539, False,-26.5,0,-43,2,10682,0,165,2550
10845,0,42,165,1539, False,4.5,0,31,2,10821,0,165,1155
11078,0,52,165,1756, False,14.5,14.5,10,2,11096,0,165,1119
11282,0,16,165,349, False,-21.5,0,-36,2,11242,0,165,2290
11486,0,57,165,2550, False,19.5,0,41,2,11548,0,165,2116
11687,0,45,165,2550, False,7.5,0,-12,2,11699,0,165,2100
11887,0,15,165,1601, False,-22.5,0,-30,2,11840,0,165,1031
12094,0,60,165,2550, False,22.5,0,45,2,12132,0,165,2550
12296,0,55,165,2550, False,17.5,17.5,-5,2,12265,0,165,2550
12497,0,10,165,2550, False,-27.5,0,-45,2,12422,0,165,2550
12698,0,34,165,1349, False,-3.5,0,24,2,12719,0,165,970
12905,0,66,165,1206, False,28.5,0,32,2,12866,0,165,2550
13105,0,63,165,2550, False,25.5,25.5,-3,2,13141,0,165,2550
13313,0,71,165,2550, False,33.5,59,8,2,13284,0,165,1762
13515,0,69,165,2550, False,31.5,90.5,-2,2,13562,0,165,1722
13724,0,65,165,2550, False,27.5,118,-4,2,13699,0,165,1694
13932,0,67,90,1307, False,29.5,147.5,2,2,13982,0,165,1611
14134,0,77,90,1744, False,39.5,187,10,2,14111,0,165,1603
14343,0,22,90,2550, False,-15.5,0,-55,2,14262,0,165,1564
14543,0,23,94.5,2550, False,-14.5,-14.5,1,2,14582,0,165,1519
14756,0,63,99.225,2550, False,25.5,0,40,2,14721,0,165,1472
14964,0,54,104.18625,2550, False,16.5,16.5,-9,2,15031,0,165,1456
15164,0,26,109.3955625,2550, False,-11.5,0,-28,2,15164,0,165,1418
15373,0,62,114.8653406,2550, False,24.5,0,36,2,15302,0,165,1387
15574,0,66,120.6086077,2550, False,28.5,28.5,4,2,15602,0,165,1385
15774,0,65,126.639038,2550, False,27.5,56,-1,2,15734,0,165,1326
15984,0,61,132.9709899,2550, False,23.5,79.5,-4,2,16030,0,165,1326
16204,0,61,139.6195394,2550, False,23.5,103,0,2,16163,0,165,1254
16407,0,61,90,2550, False,23.5,126.5,0,2,16452,0,165,1227
16608,0,63,90,2550, False,25.5,152,2,2,16591,0,90,1196
16808,0,64,90,2550, False,26.5,178.5,1,2,16752,0,90,1202
17022,0,6,90,2550, False,-31.5,0,-58,2,17025,0,90,1877
17227,0,43,94.5,1269, False,5.5,0,37,2,17183,0,94.5,1174
17427,0,60,99.225,2550, False,22.5,22.5,17,2,17481,0,104.1862488,1139
17637,0,41,104.18625,2550, False,3.5,0,-19,2,17655,0,109.3955612,1139
17838,0,40,109.3955625,1282, False,2.5,0,-1,2,17792,0,114.8653412,1800
18038,0,55,114.8653406,2442, False,17.5,17.5,15,2,18065,0,126.6390381,1162
18245,0,40,120.6086077,2420, False,2.5,0,-15,2,18231,0,132.970993,1767
18454,0,47,126.639038,2406, False,9.5,0,7,2,18511,0,139.6195374,1746
18664,0,47,132.9709899,1281, False,9.5,0,0,2,18650,0,153.930542,1702
18864,0,31,139.6195394,2360, False,-6.5,0,-16,2,18783,0,161.6270752,1672
19064,0,45,146.6005164,2550, False,7.5,0,14,2,19082,0,90,1633
19264,0,34,153.9305422,2550, False,-3.5,0,-11,2,19223,0,90,1619
19464,0,42,161.6270693,2550, False,4.5,0,8,2,19502,0,90,1076
19664,0,37,165,2258, False,-0.5,0,-5,2,19680,0,90,1093
19886,0,41,165,2223, False,3.5,0,4,2,19955,0,94.5,1076
20086,0,42,165,2550, False,4.5,0,1,2,20088,0,90,1173
20287,0,29,165,2550, False,-8.5,0,-13,2,20242,0,94.5,2550
20487,0,43,165,2550, False,5.5,0,14,2,20518,0,104.1862488,2304
20687,0,42,165,2158, False,4.5,0,-1,2,20654,0,109.3955612,2550
20888,0,35,165,2550, False,-2.5,0,-7,2,20924,0,120.6086044,1138
21094,0,36,165,2550, False,-1.5,0,1,2,21081,0,126.6390381,1525
21308,0,41,165,2150, False,3.5,0,5,2,21366,0,132.970993,1119
21508,0,33,165,2282, False,-4.5,0,-8,2,21495,0,146.6005096,2550
21709,0,44,165,1936, False,6.5,0,11,2,21775,0,153.930542,1166
21913,0,39,165,1877, False,1.5,0,-5,2,21916,0,165,954
22114,0,29,165,2550, False,-8.5,0,-10,2,22071,0,165,1111
22317,0,49,165,1823, False,11.5,0,20,2,22351,0,165,1046
22526,0,34,165,1760, False,-3.5,0,-15,2,22521,0,165,2550
22726,0,37,165,1725, False,-0.5,0,3,2,22654,0,165,1012
22927,0,39,165,1679, False,1.5,0,2,2,22943,0,165,984
23127,0,34,165,1642, False,-3.5,0,-5,2,23076,0,165,1054
23327,0,33,165,1611, False,-4.5,0,-1,2,23381,0,165,1024
23528,0,46,165,1575, False,8.5,0,13,2,23536,0,165,899
23734,0,24,165,1549, False,-13.5,0,-22,2,23681,0,165,921
23934,0,51,165,1498, False,13.5,0,27,2,23942,0,165,937
24134,0,31,165,1468, False,-6.5,0,-20,2,24104,0,165,842
24345,0,40,165,1443, False,2.5,0,9,2,24372,0,165,818
24545,0,33,165,1400, False,-4.5,0,-7,2,24523,0,165,782
24747,0,30,165,1376, False,-7.5,0,-3,2,24815,0,165,2550
24947,0,56,165,1353, False,18.5,0,26,2,24955,0,165,765
25147,0,64,165,1317, False,26.5,26.5,8,2,25112,0,165,757
25348,0,67,165,1269, False,29.5,56,3,2,25392,0,165,757
25554,0,66,165,1236, False,28.5,84.5,-1,2,25534,0,165,1679
25756,0,64,165,1200, False,26.5,111,-2,2,25821,0,165,734
25956,0,66,90,1181, False,28.5,139.5,2,2,25972,0,165,728
26156,0,55,90,1162, False,17.5,157,-11,2,26130,0,165,728
26364,0,77,90,1155, False,39.5,196.5,22,2,26392,0,165,2550
26575,0,71,90,1848, False,33.5,230,-6,2,26530,0,165,2124
26778,0,5,90,1816, False,-32.5,0,-66,2,26835,0,165,2550
26984,0,5,94.5,1805, False,-32.5,-32.5,0,2,26984,0,165,2550
27188,0,10,99.225,1786, False,-27.5,-60,5,2,27130,0,165,1372
27389,0,52,104.18625,1763, False,14.5,0,42,2,27406,0,165,1288
27594,0,56,109.3955625,1744, False,18.5,18.5,4,2,27545,0,165,1286
27795,0,49,114.8653406,1722, False,11.5,30,-7,2,27830,0,165,1255
28003,0,55,120.6086077,1693, False,17.5,47.5,6,2,27982,0,165,2282
28215,0,62,126.639038,1674, False,24.5,72,7,2,28262,0,165,2550
28416,0,66,132.9709899,1648, False,28.5,100.5,4,2,28413,0,165,2154
